Day,Didinium_3,Didinium_4,Didinium_5,Didinium_6,Didinium_10,Didinium_12,Didinium_15,Didinium_17,Didinium_19,Didinium_20,Didinium_22,Didinium_24,Didinium_25,Didinium_27,Didinium_32,Didinium_33,Didinium_34,Didinium_37,Didinium_42,Didinium_44,Didinium_45,Didinium_47,Didinium_48,Didinium_49,Didinium_50,Parmecium_3,Parmecium_4,Parmecium_5,Parmecium_6,Parmecium_10,Parmecium_12,Parmecium_15,Parmecium_17,Parmecium_19,Parmecium_20,Parmecium_22,Parmecium_24,Parmecium_25,Parmecium_27,Parmecium_32,Parmecium_33,Parmecium_34,Parmecium_37,Parmecium_42,Parmecium_44,Parmecium_45,Parmecium_47,Parmecium_48,Parmecium_49,Parmecium_50,ParameciumAVG,DidiniumAVG
0,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,0.26
1,0.32,0.19,0.19,0.19,0.39,0.39,0.26,0.26,0.26,0.32,0.19,0.26,0.32,0.32,0.26,0.19,0.32,0.32,0.19,0.26,0.19,0.13,0.26,0.39,0.32,80.00,175.00,185.00,245.00,265,215.00,145,200.00,110.00,355,120,350,250,155.00,150.00,160.00,160,100,90,285.00,200,145,125.00,160.00,170.00,183.8,0.267858065
2,0.65,0.45,0.39,0.32,0.65,0.90,0.45,0.32,0.32,0.39,0.77,0.77,0.58,0.71,0.77,0.58,0.52,1.29,0.58,0.52,0.9,0.45,0.77,0.71,0.71,195.00,320.00,170.00,100.00,120,290.00,200,195.00,115.00,180,110,415,90,145.00,80.00,210.00,95,130,225,95.00,275,250,150.00,110.00,125.00,175.6,0.61916129
3,1.23,1.23,0.52,0.39,1.29,0.90,1.16,0.58,1.16,0.97,1.23,1.87,0.84,1.23,1.10,0.84,0.58,1.94,0.58,0.52,1.1,0.58,0.77,1.10,1.42,170.00,360.00,245.00,435.00,295,295.00,235,70.00,135.00,260,335,775,145,255.00,175.00,165.00,150,340,450,160.00,125,150,195.00,250.00,90.00,250.4,1.004309677
4,0.19,1.42,0.13,0.13,1.87,0.52,2,0.97,1.81,1.42,2.26,5.23,1.35,1.23,0.90,0.77,1.03,3.1,1.1,0.39,1.74,0.71,0.65,1.23,3.23,0.00,275.00,235.00,245.00,185,240.00,300,100.00,185.00,90,200,210,120,245.00,205.00,70.00,95,135,130,130.00,150,220,115.00,280.00,65.00,169,1.414335484
5,1.87,1.74,0.13,0.13,2.32,0.77,3.23,1.87,2.13,2.9,3.29,9.03,1.48,0.32,0.65,0.71,0.65,2.06,1.29,0.39,3.55,1.16,0.52,0.77,4.84,80.00,20.00,40.00,15.00,55,160.00,95,165.00,50.00,35,105,165,70,60.00,40.00,105.00,75,70,80,80.00,45,20,25.00,245.00,40.00,77.6,1.911948387
7,1.55,3.68,0.06,0.00,2.97,0.13,3.35,5.61,3.87,65,5.61,15.74,2,0.13,0.00,0.19,1.1,5.55,1.42,0.13,9.68,3.42,0.00,0.39,3.23,90.00,20.00,105.00,155.00,45,115.00,135,130.00,140.00,35,100,160,160,115.00,80.00,115.00,30,50,25,105.00,170,50,105.00,100.00,40.00,95,5.392309677
8,1.61,1.42,0.00,0.00,3.42,0.26,3.61,8.97,5.23,9.48,4.26,75,2.45,0.00,0.00,0.00,0.84,6.19,1.81,0.00,4.65,4.71,0.00,0.26,5.42,60.00,65.00,45.00,55.00,15,55.00,15,50.00,15.00,215,35,120,45,20.00,80.00,115.00,150,405,105,95.00,440,5,35.00,30.00,60.00,93.2,5.583251613
9,1.68,1.35,0.00,,6.32,0.13,2.77,11.48,7.94,10.9,4.45,10.84,3.42,0.00,0.00,0.00,0.65,6.32,3.23,0.00,35,4.77,,0.06,4.84,895.00,45.00,20.00,,5,60.00,95,50.00,25.00,15,25,600,230,155.00,145.00,265.00,110,20,20,220.00,35,25,,380.00,115.00,154.5652174,5.050168303
10,2.13,0.77,,,5.94,0.06,2.26,12.06,6.26,10,4.26,30,4.52,,,,1.29,9.03,4.52,,12.26,5.74,,0.00,3.81,615.00,35.00,,,25,60.00,60,115.00,70.00,35,70,465,140,,,,45,60,85,,25,65,,450.00,85.00,139.1666667,6.384265233
12,0.90,0.19,,,2.77,0.00,1.74,0.19,4.32,4.77,1.29,1.1,15,,,,0.65,9.68,3.16,,4,4.45,,0.00,3.42,95.00,10.00,,,735,360.00,35,85.00,75.00,90,745,620,325,,,,735,265,155,,145,65,,135.00,415.00,282.7777778,3.20234767
14,0.39,0.00,,,1.35,0.00,3.03,0.71,0.97,3.03,0.26,1.16,0.65,,,,0.84,15,,,3.03,10,,,0.00,0.97,3.29,,,4.84,55.00,3.35,135.00,400.00,115,9.94,35,250,,,,8.45,15,,,130,150,,,140.00,90.98987903,2.525907258
16,0.06,0.00,,,0.19,,1.74,0.00,,2.84,0.06,2.13,1.35,,,,0.71,1.74,2.19,,4,1.81,,,,0.77,5.10,,,7.48,,5.68,60.00,,90,80,85,65,,,,2.52,220,125,,195,140,,,,77.25364055,1.344608295
18,0.00,,,,0.39,,0.13,0.00,,1.35,0.06,4.06,0.65,,,,0.77,0.13,2.13,,5.29,0.71,,,,1.55,,,,100,,5.55,230.00,,30,175,2.32,6.65,,,,6.26,110,90,,290,140,,,,91.33295285,1.205384615
21,0.00,,,,1.55,,0,,,0,0,2.13,0.26,,,,0.19,0,0,,1.55,0.58,,,,260.00,,,,25,,2.65,,,330,70,1.03,325,,,,15,90,95,,60,45,,,,109.89,0.521666667
23,,,,,2.32,,0,,,0,0,0.26,0,,,,0.13,0,0.13,,0.06,0.13,,,,,,,,85,,0.84,,,110,130,65,7.1,,,,8.19,215,325,,145,130,,,,111.0118182,0.275454545
